,Capitale,Pays/Territoire,Population,Année,capitalpays,Latitude,Longitude
163,Sri Jayawardenapura Kotte,Sri Lanka,118 556[67],,"Sri Jayawardenapura Kotte,Sri Lanka",6.8867616,79.9187142
164,Reykjavík,Islande,115 000[68],,"Reykjavík,Islande",64.146582,-21.9426354
165,Bridgetown,Barbade,110 000,,"Bridgetown,Barbade",13.0968511,-59.61448189999999
166,Malé,Maldives,103 693,,"Malé,Maldives",4.1754959,73.5093474
167,Thimphu,Bhutan,101 259 [67],,"Thimphu,Bhutan",27.4727924,89.6392863
168,Malabo,Guinée équatoriale,100 677 [69],,"Malabo,Guinée équatoriale",3.7549606,8.7821344
169,Nouméa,Nouvelle-Calédonie (France),89 207[70],,"Nouméa,Nouvelle-Calédonie (France)",-22.2833623,166.4448536
170,Nicosia,Chypre du Nord,84 893,,"Nicosia,Chypre du Nord",35.1855659,33.38227639999999
171,Suva,Fidji,84 410[70],,"Suva,Fidji",-18.1248086,178.4500789
172,Mbabane,Swaziland,81 594,,"Mbabane,Swaziland",-26.3054482,31.1366715
173,Luxembourg,Luxembourg,76 420[71],,"Luxembourg,Luxembourg",49.61162100000001,6.1319346
174,Castries,Sainte-Lucie,70 000[72],,"Castries,Sainte-Lucie",14.0101094,-60.98746869999999
175,Saipan,Îles Mariannes du Nord (États-Unis),62 392 (2000)[73],,"Saipan,Îles Mariannes du Nord (États-Unis)",15.1850483,145.7467259
176,Moroni,Comores,60 200,,"Moroni,Comores",-11.7172157,43.2473146
177,Honiara,Salomon,59 288[70],,"Honiara,Salomon",-9.4456381,159.9728999
178,Dili,Timor-Oriental,59 069,,"Dili,Timor-Oriental",-8.5568557,125.5603143
179,São Tome,São Tomé-et-Principe,56 166,,"São Tome,São Tomé-et-Principe",0.3301924,6.733343
180,Pago Pago,Samoa américaines (États-Unis),52 000 (2003)[74],,"Pago Pago,Samoa américaines (États-Unis)",-14.270972,-170.132217
181,Port of Spain,Trinidad-et-Tobago,50 479,,"Port of Spain,Trinidad-et-Tobago",10.6549013,-61.50192559999999
182,Stepanakert,Haut-Karabagh,49 986,,"Stepanakert,Haut-Karabagh",39.82652789999999,46.7655746
183,Willemstad,Curaçao (Pays-Bas),49 885 [75],,"Willemstad,Curaçao (Pays-Bas)",12.1224221,-68.8824233
